G1,G2,G3,G4,G5,G6,G7,G8 ,G9,G10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
0.15018,0.18939,0.2226,0.25563,0.29375,0.28387,0.23791,0.22001,0.14503,0.11444,0.31112,0.34769,0.39715,0.41154,0.40464,0.46322,0.40421,0.33213,0,0,0.25395,0.31246,0.33906,0.37126,0.41194,0.3958,0.28334,0.20087,0.22225,0,0.317,0.34208,0.34017,0.3053,0.33152,0.17167,0,0,0,0,0.15247,0.18454,0.18533,0.14271,0,0,0,0,0,0,0.85468,0.85468,0.85747,0.85967,0.86455,0.89947,0.93011,0.92698,0.87992,0.7881,0.2249,0.22449,0.26344,0.28511,0.20181,0.20181,0.11956,0,0,0,0.18142,0.20696,0.24602,0.24996,0.25579,0.094285,0,0,0,0
0.24184,0.2915,0.33183,0.37003,0.4069,0.44686,0.46421,0.46515,0.46929,0.39117,0.47731,0.51397,0.53837,0.54582,0.53591,0.48614,0.46393,0.4896,0.51301,0.29651,0.33957,0.37769,0.46686,0.48915,0.54413,0.63509,0.55641,0.49293,0.56857,0.43804,0.42088,0.49674,0.5502,0.642,0.65614,0.64653,0.69192,0.67385,0.40284,0.43853,0.41637,0.4283,0.44703,0.45944,0.41713,0.4003,0.39058,0.18869,0,0,1.003,1.003,1.003,1.003,1.003,1.003,0.99463,0.97453,0.96413,0.96682,0.37776,0.39596,0.37554,0.35102,0.42353,0.38249,0.21285,0,0,0,0.39972,0.42886,0.444,0.45463,0.464,0.46373,0.41274,0.32338,0.27247,0.18258
0.16672,0.21282,0.24942,0.28775,0.31601,0.32114,0.28096,0.21209,0.16784,0.16225,0.24381,0.31326,0.33017,0.35494,0.40451,0.35952,0.26764,0.26731,0.31641,0.21652,0.19876,0.26063,0.33271,0.37723,0.39863,0.4469,0.43408,0.20888,0,0,0.33323,0.39341,0.41595,0.43272,0.52572,0.43236,0.42972,0.20578,0,0,0.31073,0.38384,0.36651,0.3504,0.3649,0.24189,0,0,0,0,0.63593,0.6397,0.64505,0.65337,0.70374,0.70694,0.67312,0.64491,0.49416,0.53215,0.20649,0.2158,0.24762,0.19181,0.14286,0,0,0,0,0,0.25375,0.2728,0.29272,0.28922,0.27298,0.22641,0.094009,0.10551,0.081838,0
0.19715,0.24497,0.2808,0.32109,0.36014,0.40344,0.43677,0.40081,0.26922,0.22235,0.38796,0.45251,0.48606,0.50758,0.56698,0.62022,0.62935,0.51277,0.47773,0.48796,0.3573,0.37952,0.41304,0.41594,0.46885,0.38918,0.4464,0.26416,0.30071,0.21483,0.3061,0.36507,0.40244,0.4873,0.53142,0.34142,0.323,0.3276,0.18259,0,0.46392,0.4804,0.48241,0.50891,0.4575,0.4522,0.46072,0.30243,0,0,0.65883,0.6623,0.66974,0.67542,0.67619,0.67496,0.69565,0.65157,0.47364,0.26341,0.27513,0.29394,0.4038,0.30002,0.35238,0.45306,0.22767,0,0,0,0.28077,0.32441,0.3576,0.39745,0.42683,0.38472,0.39545,0.35742,0.18281,0.18281
0.14913,0.1896,0.22304,0.26048,0.29041,0.31261,0.32898,0.2528,0.17274,0.10599,0.33923,0.3971,0.43315,0.49023,0.50201,0.54307,0.54004,0.53002,0.40422,0.40422,0.2315,0.2594,0.27646,0.29726,0.30765,0.3031,0.33788,0.28327,0,0,0.31557,0.35615,0.37284,0.39498,0.30736,0.29993,0.13691,0.16774,0,0,0.40416,0.42904,0.45507,0.47226,0.46795,0.36491,0.25068,0.083959,0,0,0.34214,0.35586,0.37206,0.36111,0.36053,0.27673,0.21226,0,0,0,0.28396,0.28509,0.29765,0.24915,0.30828,0.11619,0.16267,0,0,0,0.1864,0.24752,0.29289,0.29301,0.28282,0.29546,0.22178,0.090955,0.090955,0
0.1636,0.20643,0.23681,0.26863,0.30864,0.32652,0.36154,0.33133,0.24641,0.16294,0.33605,0.38,0.41792,0.47742,0.49347,0.47512,0.55775,0.51809,0.2971,0.21589,0.292,0.33119,0.35323,0.37015,0.42628,0.46711,0.51714,0.37784,0.13118,0.13118,0.33205,0.38786,0.4063,0.3853,0.37455,0.41467,0.38994,0.31885,0.23373,0.23153,0.22876,0.26745,0.27289,0.22064,0.1405,0.20291,0,0,0,0,0.3251,0.38863,0.44892,0.52618,0.63478,0.56441,0.63347,0.39144,0.35232,0.13933,0.33291,0.42255,0.45526,0.28107,0.32191,0.31129,0,0,0,0,0.29292,0.34318,0.36895,0.38837,0.43232,0.42882,0.49445,0.46521,0.40446,0.20632
0.16198,0.2115,0.2597,0.30886,0.34183,0.33465,0.33178,0.2913,0.22044,0.15746,0.28988,0.33056,0.36296,0.36923,0.37809,0.3679,0.42431,0.33053,0.23397,0.15076,0.25928,0.2926,0.31447,0.33484,0.35658,0.25122,0.24095,0.24042,0.21204,0.11934,0.33682,0.38974,0.41292,0.35254,0.30095,0.27744,0.23543,0,0,0,0.20369,0.23195,0.26909,0.28623,0.22249,0.10461,0.11623,0,0,0,1.0066,1.0066,1.0066,1.0066,1.0066,1.0066,0.99685,0.97727,0.98061,0.94235,0.21284,0.26415,0.32313,0.34238,0.2627,0.064977,0,0,0,0,0.19788,0.23541,0.26064,0.27528,0.27374,0.19147,0.13077,0.07226,0,0
0.1552,0.20043,0.23756,0.28524,0.34022,0.39948,0.425,0.44522,0.38893,0.26066,0.31824,0.34101,0.35794,0.36748,0.43595,0.49979,0.47173,0.50372,0.36543,0.32966,0.28375,0.33393,0.38085,0.46136,0.41244,0.37298,0.42084,0.41267,0.40625,0.21209,0.4678,0.49352,0.50267,0.4851,0.49296,0.5401,0.48539,0.41844,0.43148,0.35319,0.23635,0.30781,0.32697,0.21739,0.223,0.055861,0,0,0,0,0.72076,0.72076,0.72197,0.72031,0.72679,0.75646,0.76827,0.78357,0.70631,0.5569,0.22854,0.26953,0.26702,0.33931,0.43217,0.28211,0.20919,0.20919,0.20919,0,0.31697,0.34731,0.38676,0.42243,0.43137,0.43919,0.44432,0.45067,0.4557,0.20914
0.19895,0.24667,0.28415,0.31386,0.34746,0.3819,0.37638,0.32705,0.25687,0.21783,0.27803,0.34831,0.38152,0.42562,0.40414,0.40579,0.41547,0.4116,0.22637,0.099219,0.37818,0.4047,0.42585,0.44437,0.45871,0.4999,0.38611,0.35286,0.4274,0.32389,0.32841,0.3708,0.3709,0.37883,0.37485,0.31145,0.29814,0.14641,0.20498,0,0.62667,0.65716,0.65716,0.67807,0.67818,0.67818,0.68469,0.59376,0.61557,0.58816,0.4198,0.45278,0.46203,0.4854,0.52215,0.52056,0.49081,0.49088,0.43555,0.40278,0.20158,0.27146,0.26431,0.36031,0.41799,0.21123,0.21123,0,0,0,0.31098,0.35496,0.37892,0.40296,0.43531,0.41069,0.35263,0.33925,0.13696,0.11676
0.14014,0.1817,0.21596,0.25187,0.28302,0.30512,0.31664,0.34972,0.31519,0.20788,0.23477,0.28669,0.29993,0.3157,0.25297,0.24077,0.16174,0.23636,0.26518,0.15286,0.26444,0.30334,0.35694,0.37665,0.35747,0.36142,0.44816,0.34648,0.29153,0.25962,0.33715,0.36227,0.38066,0.43167,0.44396,0.46384,0.41804,0.45552,0.40095,0,0.61559,0.63461,0.66644,0.68219,0.64718,0.63376,0.61877,0.64232,0.48166,0,0.52103,0.54846,0.57126,0.57761,0.66763,0.7114,0.68481,0.78167,0.8044,0.70434,0.15397,0.1925,0.27811,0.049642,0,0,0,0,0,0,0.24144,0.2847,0.32361,0.37426,0.37297,0.38524,0.34406,0.27131,0.21651,0.2053
