G1,G2,G3,G4,G5,G6,G7,G8 ,G9,G10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
60.138,44.638,30.069,19.638,11.862,6.7931,4.2931,2.7931,1.8448,1.1552,14.909,13.182,11,8.2727,5.8182,4,3.0909,2.1818,1.2727,0.72727,14.182,11.636,9.1818,7.7273,5.9091,4.4545,3.3636,2.0909,1.6364,0.54545,8.8333,8.1667,6.8333,5.8333,4.3333,2.5,1,0.66667,0.16667,0,7,4.8,3.6,2.2,1,0.6,0.4,0.2,0,0,13,13,12.857,12.714,12,10.714,10.143,9,8,6.5714,6,5.6,4.2,2.4,1.8,1.8,1.2,0.6,0.4,0.2,18.923,15,10.308,6.6154,4.3077,1.7692,0.92308,0.46154,0.15385,0.15385
66.741,54.431,42.586,31.466,22.034,14.862,10.155,6.8448,4.4828,2.9655,18.455,17.545,16.273,15.091,12.818,9.9091,7.0909,5.5455,3.6364,2.3636,16.091,14.636,11.818,9.8182,7.6364,5.6364,4.2727,3.0909,2.6364,1.5455,8,7,6,5.1667,4.8333,4.1667,3.6667,3,2.6667,2.1667,8.8,8.4,7.4,6.2,4.4,3.6,3.2,2.2,1,0.6,13,13,13,13,13,13,12.714,11.571,10.429,8.5714,7.6,7.2,6,4.6,3.8,3,1.6,1,1,1,23.692,21.769,20.462,17.308,13.462,9.7692,6.1538,3.8462,2.2308,1.2308
60.224,45.241,32.741,22.172,14.31,8.5172,5.2414,3.3448,1.8966,1.2586,13.818,10.909,8.8182,7.2727,5.5455,3.6364,2.3636,1.9091,1.2727,1,12.727,9.2727,7.1818,5.7273,4,3.0909,2.6364,1.7273,1,0.54545,7.3333,6.5,5.3333,4.6667,3.5,2.5,2,1.6667,1,0.66667,6.6,5.6,5,4.6,4.2,2.4,1,0.6,0.2,0,12.857,12.714,12.286,11.571,9.5714,8.7143,7.4286,6.2857,4.1429,3.1429,5.6,4.8,3.8,2.8,2.4,0.8,0.4,0.2,0.2,0.2,20.462,18,14.615,10.077,6.3846,3.4615,1.6154,0.92308,0.38462,0.30769
62.121,48.655,36.81,25.828,17.897,11.983,7.7586,4.8966,3,2.1897,13.636,11.545,10.455,8.8182,7.5455,5.7273,4.6364,3.6364,2.7273,1.8182,15.727,14.091,12.455,10.182,8.2727,6.5455,4.9091,3.0909,2.5455,1.8182,7,5.6667,5.1667,3.5,3,2.3333,2.1667,1.6667,1.1667,0.66667,8.2,8,7.6,6.6,4.6,4.2,3.6,2.2,1.2,1.2,13,12.857,12.571,12,11.143,9.8571,8,6.4286,3.5714,2.8571,5,4.2,3.2,2.2,1.8,1.6,1,0.8,0.6,0.4,19.692,16.615,14.077,10.308,7.6154,5.7692,3.3846,2.1538,1.1538,0.92308
60.724,44.879,30.914,19.552,12.517,7.6207,4.6207,2.6897,1.5172,1.0862,13.636,11.636,10.273,8.0909,6.3636,4.8182,3.5455,2.7273,2,1.7273,13.545,11.455,8.9091,6.2727,4.5455,3.2727,2,1.5455,0.90909,0.72727,9.5,8.6667,7.3333,5.8333,4.1667,2.6667,1.6667,1.1667,0.5,0.5,8.2,7.8,6.8,6.2,5,4,2.2,1.6,1,0.6,11.429,11,9,7,5.4286,4.1429,2.4286,1,0.71429,0.57143,5.2,4.6,4.2,2.8,2.4,1.6,1.2,0.6,0.4,0.4,18.769,14.154,10,6.6923,4.3077,2.7692,1.9231,0.92308,0.69231,0.46154
62.983,47.483,35.086,24.19,16.052,10.207,5.9138,3.6724,2.1552,1.2759,14.909,13.273,11.545,9.3636,7.9091,5.9091,4,3.0909,2.0909,1.4545,14.818,12.909,10.818,8.5455,6.5455,4.4545,3.2727,2.2727,1.2727,0.81818,8.3333,7,5.8333,5.1667,4.3333,3.3333,2.6667,1.8333,1,0.66667,6.6,5.4,4.6,3.6,2,1.4,0.6,0.4,0.4,0,10.857,8.8571,7.2857,6.2857,5.1429,4.1429,3.7143,2.7143,1.8571,1.1429,5,4,3.8,3,2.4,2.2,1.4,0.8,0.6,0.6,19.692,16.846,14.154,11,8,5.7692,3.9231,3.0769,2.0769,1.4615
57.655,42.966,29.31,19,12.397,7.9483,5.1897,3.3793,2.2241,1.6034,14.364,12.636,10.182,7.3636,5.7273,4.9091,3.4545,2.6364,1.6364,1.1818,16.273,14.273,11.091,7.9091,6.2727,3.7273,2.3636,1.8182,1.6364,0.72727,6.8333,6,5.5,5,3.6667,2.6667,1.5,0.83333,0.5,0.33333,7,5.2,4.6,3.2,1.8,1.4,1.2,0.6,0.2,0,13,13,13,13,13,13,12.571,11.571,10,8.1429,5.4,4.4,4,3.6,2.4,1.4,0.8,0.4,0,0,19.077,15.308,11.077,7.1538,4.5385,3,1.3846,0.84615,0.23077,0.23077
68.345,50,33.897,21.966,13.69,8.5345,5.7069,3.8621,2.8103,1.7241,18.636,16.909,14.182,10.818,7.2727,5.1818,3.5455,2.9091,1.7273,1.1818,15,12.818,10.091,8,6.4545,4.7273,3.1818,2.3636,1.7273,1.4545,8.3333,7.6667,7.5,6.8333,5.5,4.3333,3.6667,2.6667,2.1667,2,7.8,6.2,5.4,4.2,2.6,1.4,0.6,0.6,0.4,0.2,13,13,12.857,12.714,11.571,10.143,8.2857,6.2857,5.7143,3.5714,7.8,6.2,4.6,3.6,2,1.6,1.4,1.4,1.4,0.6,20.538,18.462,15.462,11.615,8.9231,6.6923,4.8462,2.8462,2.1538,1.1538
62.586,49.862,38.259,28.276,19.983,13.414,8.7069,5.1897,3.0517,1.6379,13.364,10.909,9.2727,7.6364,5.8182,4.4545,3.7273,2.7273,1.6364,1,16.727,14.909,13.091,10.818,8.9091,7.6364,5.6364,4.2727,3,1.7273,7.1667,6,5.5,4.6667,4.3333,3.3333,2.5,1.3333,1.1667,0.66667,7,6.6,6.6,6.2,6,5.8,5.4,4.4,3,2.2,9.5714,8.8571,8.4286,7.4286,5.8571,4.7143,4,3.1429,2.4286,2.1429,6.4,4.8,4,3,2.2,1.4,1.4,0.8,0.6,0.2,19.385,17,14.385,11.769,9.2308,7,4.4615,2.6923,1.7692,0.76923
61.328,44.621,30.034,19.259,12.259,7.3448,4.569,2.931,1.7931,1.2586,15.364,12.273,10,7.9091,5.8182,3.7273,2.4545,1.6364,1,0.81818,15.636,13.545,10.545,7.9091,5.8182,4.0909,3.2727,2.4545,1.4545,1.1818,9,8.3333,6.5,4.6667,4.3333,3.3333,2.6667,2.1667,1.5,0.83333,9,8.6,8,7.8,7.2,7,5.4,5,3.2,1.6,12.143,11.714,11.286,10.286,7.5714,6.5714,5,3.7143,3.4286,3,6.2,4.6,3.4,1.8,1.6,0.8,0.6,0.6,0.2,0,19.538,15.769,12.231,9,6.5385,4.3846,2.4615,1.6923,1.3077,1
