G1,G2,G3,G4,G5,G6,G7,G8 ,G9,G10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
0.22662,0.29637,0.36549,0.42589,0.45931,0.40452,0.31409,0.26785,0.15782,0.12423,0.35819,0.40821,0.47254,0.51817,0.51435,0.54949,0.46403,0.37382,0,0,0.32475,0.40336,0.44296,0.49147,0.53341,0.50066,0.37627,0.24544,0.25324,0,0.34557,0.37979,0.39683,0.38602,0.42768,0.21703,0,0,0,0,0.19266,0.24497,0.26482,0.14271,0,0,0,0,0,0,0.8598,0.8598,0.86662,0.8733,0.90145,0.95282,0.97564,1.0061,0.91979,0.86922,0.27613,0.28731,0.34229,0.35851,0.20181,0.20181,0.11956,0,0,0,0.23236,0.28471,0.35327,0.35921,0.35394,0.094285,0,0,0,0
0.31153,0.38111,0.44618,0.51281,0.58389,0.63658,0.645,0.61678,0.57564,0.47062,0.5059,0.54404,0.58001,0.6065,0.64569,0.6212,0.60085,0.61372,0.64095,0.34819,0.39055,0.43737,0.5489,0.57669,0.64956,0.76115,0.65585,0.59203,0.65158,0.45732,0.47793,0.56768,0.62065,0.67482,0.70186,0.75397,0.77342,0.71427,0.46657,0.51867,0.43863,0.45538,0.49929,0.54938,0.5346,0.52613,0.50048,0.18869,0,0,1.003,1.003,1.003,1.003,1.003,1.003,1.0104,1.0419,1.0715,1.1226,0.40801,0.4286,0.41968,0.43098,0.49581,0.4098,0.24371,0,0,0,0.42835,0.46795,0.4918,0.53508,0.58865,0.60377,0.55445,0.44943,0.33956,0.22299
0.24413,0.31893,0.38336,0.44624,0.48133,0.45746,0.39064,0.28679,0.21805,0.20569,0.31347,0.40707,0.45022,0.47314,0.48632,0.40605,0.31113,0.31107,0.31641,0.21652,0.27609,0.37163,0.46393,0.49554,0.50001,0.5258,0.5004,0.20888,0,0,0.38694,0.45661,0.50549,0.50955,0.5662,0.46794,0.48993,0.23523,0,0,0.36516,0.44635,0.47091,0.48005,0.43467,0.2653,0,0,0,0,0.65121,0.65705,0.67297,0.69694,0.77803,0.80264,0.78324,0.80628,0.59499,0.63142,0.26002,0.29222,0.32216,0.26237,0.19858,0,0,0,0,0,0.289,0.32041,0.3607,0.38976,0.40277,0.29652,0.12363,0.13448,0.081838,0
0.27485,0.3479,0.41172,0.48347,0.54225,0.58008,0.59567,0.50542,0.33007,0.25933,0.45137,0.53519,0.57919,0.62705,0.67153,0.73977,0.75914,0.64281,0.53821,0.48796,0.40776,0.43857,0.47933,0.50941,0.57175,0.49512,0.55034,0.32809,0.35331,0.25116,0.35454,0.41911,0.44812,0.54036,0.53142,0.34142,0.34938,0.38297,0.18259,0,0.49694,0.51508,0.53303,0.58077,0.55303,0.54138,0.57192,0.4054,0,0,0.66903,0.67554,0.68866,0.7088,0.73563,0.77018,0.82161,0.79388,0.61999,0.28773,0.31995,0.34148,0.47183,0.36751,0.35238,0.45306,0.22767,0,0,0,0.33489,0.3994,0.44808,0.52319,0.56821,0.55106,0.47918,0.38159,0.18281,0.18281
0.22751,0.29864,0.36785,0.43893,0.47333,0.4722,0.43761,0.29936,0.18486,0.11635,0.40705,0.48397,0.53514,0.61996,0.63938,0.65429,0.60701,0.53002,0.40422,0.40422,0.30175,0.34858,0.36747,0.40151,0.40107,0.39601,0.38409,0.30934,0,0,0.35262,0.40016,0.44794,0.50438,0.37245,0.34642,0.16891,0.16774,0,0,0.43921,0.46908,0.51889,0.54499,0.58208,0.44332,0.29096,0.083959,0,0,0.38121,0.39866,0.44758,0.44462,0.47315,0.42516,0.23872,0,0,0,0.3153,0.32094,0.34094,0.27945,0.30828,0.11619,0.16267,0,0,0,0.23463,0.31522,0.39424,0.40468,0.34419,0.346,0.25912,0.090955,0.090955,0
0.24754,0.32348,0.38664,0.44988,0.51297,0.52838,0.51287,0.44802,0.29961,0.16294,0.40062,0.46104,0.51143,0.59264,0.62872,0.6446,0.70132,0.64365,0.30912,0.21589,0.3566,0.41241,0.465,0.51615,0.59478,0.5621,0.58509,0.44139,0.13118,0.13118,0.38063,0.45232,0.47682,0.41959,0.39696,0.48975,0.51045,0.34464,0.2761,0.23153,0.27239,0.33381,0.31946,0.31502,0.16564,0.23605,0,0,0,0,0.3863,0.48242,0.56396,0.62892,0.68505,0.62085,0.71687,0.46078,0.41263,0.13933,0.37823,0.45437,0.45629,0.28173,0.34813,0.34992,0,0,0,0,0.34678,0.41189,0.46301,0.48866,0.56143,0.56568,0.58605,0.58181,0.4602,0.20632
0.23631,0.31383,0.39625,0.46683,0.49308,0.44661,0.4207,0.34973,0.25219,0.18239,0.34629,0.4014,0.4544,0.46708,0.48075,0.46869,0.53095,0.47375,0.26185,0.15076,0.31854,0.36774,0.43202,0.49073,0.48888,0.31462,0.28366,0.27705,0.22756,0.11934,0.37117,0.42868,0.44225,0.38482,0.32942,0.31452,0.23543,0,0,0,0.24487,0.29526,0.34626,0.36939,0.27104,0.10461,0.11623,0,0,0,1.0066,1.0066,1.0066,1.0066,1.0066,1.0066,1.0188,1.0434,1.0835,1.1201,0.26805,0.31317,0.35153,0.38064,0.30735,0.064977,0,0,0,0,0.24685,0.30679,0.35641,0.37859,0.36055,0.23972,0.15427,0.07226,0,0
0.22696,0.30341,0.3788,0.45162,0.50882,0.55472,0.5566,0.51434,0.44993,0.29779,0.36426,0.40332,0.45181,0.51619,0.59299,0.58641,0.52702,0.54961,0.38342,0.35029,0.34253,0.40282,0.47705,0.56734,0.48855,0.46033,0.49096,0.46485,0.40625,0.21209,0.5067,0.53036,0.53897,0.5239,0.56545,0.65623,0.58224,0.45696,0.50183,0.38695,0.28086,0.36916,0.40117,0.2907,0.27865,0.055861,0,0,0,0,0.72731,0.72731,0.73337,0.73779,0.77657,0.83803,0.9005,0.9525,0.8842,0.60744,0.27176,0.33872,0.33208,0.40833,0.47233,0.32227,0.20919,0.20919,0.20919,0,0.36557,0.40971,0.46553,0.53973,0.55758,0.57763,0.6035,0.5086,0.51803,0.24861
0.27951,0.35175,0.4161,0.47285,0.53072,0.57646,0.54325,0.45929,0.34257,0.27201,0.35324,0.44393,0.47869,0.54262,0.53219,0.50056,0.51404,0.53693,0.24699,0.099219,0.42001,0.44868,0.48308,0.51285,0.54753,0.58464,0.46818,0.44449,0.53015,0.37587,0.36674,0.38578,0.38592,0.40131,0.41098,0.35933,0.3505,0.14641,0.20498,0,0.64899,0.68206,0.68206,0.69741,0.67818,0.67818,0.70503,0.72624,0.69448,0.74364,0.44316,0.48505,0.50143,0.53971,0.57659,0.62799,0.58926,0.58044,0.5131,0.51359,0.26948,0.35735,0.33455,0.4051,0.41799,0.21123,0.21123,0,0,0,0.36571,0.42408,0.46646,0.51914,0.55515,0.57925,0.4916,0.36754,0.15412,0.12816
0.21908,0.29476,0.36734,0.43166,0.46257,0.47057,0.43641,0.40868,0.35355,0.23027,0.30122,0.38008,0.42167,0.44432,0.35867,0.36631,0.18987,0.25257,0.28983,0.17751,0.32845,0.38567,0.46359,0.51097,0.48046,0.4523,0.51878,0.39061,0.30962,0.28495,0.38286,0.4099,0.45598,0.52278,0.53794,0.55737,0.51601,0.52039,0.44207,0,0.62557,0.65272,0.69019,0.70364,0.66219,0.66512,0.72881,0.74581,0.6496,0,0.54781,0.57808,0.60123,0.6355,0.76869,0.81621,0.79987,0.86132,0.9064,0.81125,0.2092,0.25545,0.33491,0.049642,0,0,0,0,0,0,0.2889,0.35265,0.39452,0.45866,0.46767,0.48578,0.40022,0.31721,0.21651,0.2053
