G1,G2,G3,G4,G5,G6,G7,G8 ,G9,G10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
15.452,14.681,12.5,9.9097,7.1958,4.9296,3.5733,2.6003,1.89,1.3047,5.8603,5.77,5.4545,4.7719,3.906,3.0673,2.5707,1.9748,1.2902,0.83266,5.4103,5.2825,4.9056,4.5477,3.8981,3.2524,2.6533,1.8173,1.4866,0.55632,3.4359,3.4062,3.2106,2.9341,2.4045,1.5563,0.74399,0.52326,0.13883,0,1.6416,1.5404,1.3625,0.99097,0.56246,0.3834,0.26711,0.14246,0,0,11.557,11.557,11.534,11.5,11.245,10.661,10.35,9.602,8.8333,7.6035,2.1607,2.1302,1.9473,1.492,1.2863,1.2863,0.96698,0.57595,0.42312,0.24421,4.9576,4.7397,4.0251,3.0997,2.2732,1.1377,0.6837,0.38997,0.15433,0.15433
22.721,22.109,20.347,17.566,14.273,11.067,8.4891,6.3531,4.5996,3.3188,10.321,10.29,10.097,9.8153,8.9943,7.6444,6.1148,5.0985,3.6786,2.6,7.173,7.0891,6.6832,6.1689,5.4285,4.5584,3.8159,3.0477,2.712,1.7949,4.6624,4.6212,4.4647,4.2569,4.1375,3.845,3.5694,3.118,2.8678,2.4335,4.1302,4.0947,3.9492,3.6555,2.9915,2.6382,2.4219,1.7984,0.92183,0.57673,13.262,13.262,13.262,13.262,13.262,13.262,13.093,12.356,11.499,9.9376,3.673,3.6436,3.4568,3.0922,2.8055,2.4587,1.6814,1.3112,1.3112,1.3112,10.959,10.851,10.676,9.8765,8.5385,6.8901,4.9048,3.406,2.205,1.3572
16.544,15.792,13.932,11.317,8.5947,6.0125,4.2171,2.9878,1.9039,1.3677,5.1263,4.9768,4.6687,4.2814,3.6881,2.8446,2.1485,1.851,1.3608,1.1293,4.2828,4.097,3.7759,3.411,2.8195,2.4025,2.1471,1.5631,1.0106,0.62425,3.1847,3.1343,2.9403,2.7684,2.3653,1.934,1.6645,1.4532,0.9756,0.70058,2.6707,2.6203,2.5137,2.4024,2.2772,1.4976,0.72113,0.45403,0.16026,0,8.7862,8.772,8.7011,8.5136,7.8319,7.4332,6.7376,5.9889,4.3851,3.5577,1.836,1.7796,1.6406,1.3928,1.257,0.53845,0.31255,0.1847,0.1847,0.1847,6.5685,6.4498,5.9431,4.8082,3.5231,2.204,1.1853,0.7533,0.36145,0.29526
19.222,18.559,16.81,14.073,11.321,8.6768,6.3564,4.5029,3.0888,2.4009,6.8446,6.7581,6.605,6.1754,5.7483,4.9284,4.3356,3.6756,2.9906,2.2215,7.3454,7.2577,7.0218,6.4397,5.7748,4.9757,4.0682,2.8876,2.4697,1.85,2.9703,2.9016,2.8287,2.4033,2.2292,1.9239,1.8249,1.5012,1.1397,0.7137,4.407,4.4018,4.3366,4.0784,3.3715,3.2058,2.8791,1.963,1.2211,1.2211,9.0601,9.0473,9.0144,8.8672,8.576,7.982,6.959,5.9347,3.7753,3.1661,2.0443,2.012,1.8706,1.6237,1.4773,1.3887,1.0525,0.91835,0.75979,0.59544,7.3538,7.1879,6.7989,5.8313,4.8978,4.0556,2.7471,1.9518,1.2104,1.0169
15.69,14.876,12.816,10.005,7.5559,5.3773,3.7381,2.4885,1.6174,1.2502,6.6221,6.5112,6.2938,5.7482,5.1426,4.4515,3.7662,3.2268,2.6956,2.4596,4.7768,4.6467,4.2713,3.6049,2.9895,2.424,1.7152,1.4187,0.94567,0.79086,3.781,3.7531,3.5449,3.1901,2.6083,1.9353,1.3819,1.0443,0.54031,0.54031,3.9006,3.8859,3.7296,3.5785,3.1459,2.7001,1.7078,1.3358,0.89704,0.55693,4.7299,4.711,4.4038,3.8935,3.3137,2.738,1.8074,0.88746,0.68081,0.56011,2.2674,2.2317,2.1641,1.8093,1.6721,1.3166,1.103,0.68945,0.54614,0.54614,5.1783,4.9527,4.343,3.5141,2.6667,1.9565,1.4831,0.84024,0.66429,0.46651
17.832,17.054,15.202,12.505,9.6761,7.0829,4.7254,3.2698,2.1406,1.4014,6.8435,6.7729,6.5104,5.9601,5.4491,4.5459,3.4986,2.9112,2.1633,1.6292,6.0646,5.9479,5.6381,5.0595,4.3581,3.4255,2.7633,2.1129,1.3636,0.97385,3.7267,3.6473,3.4711,3.3024,3.0204,2.5399,2.1875,1.6407,1.0322,0.75659,2.133,2.0879,1.9521,1.7307,1.1845,0.91979,0.45834,0.32858,0.32858,0,4.8974,4.8031,4.5602,4.3287,3.9095,3.4628,3.2231,2.5733,1.943,1.3402,2.3305,2.2574,2.2237,2.0268,1.8224,1.7252,1.2804,0.89908,0.74758,0.74758,7.7559,7.62,7.2109,6.4314,5.3833,4.4004,3.393,2.8287,2.0791,1.5519
15.454,14.729,12.696,10.157,7.8549,5.8777,4.3813,3.2105,2.3506,1.8271,5.8557,5.7634,5.4053,4.7117,4.1337,3.7738,2.9789,2.4441,1.7053,1.3231,5.8665,5.7556,5.2788,4.4901,3.8906,2.747,2.0008,1.6521,1.5186,0.74514,2.9627,2.9383,2.8476,2.7212,2.2723,1.8185,1.189,0.75333,0.49675,0.36324,2.1433,2.0813,2.0084,1.6489,1.1552,0.97444,0.85769,0.46962,0.17143,0,13.36,13.36,13.36,13.36,13.36,13.36,13.118,12.447,11.277,9.7055,1.9418,1.8871,1.8425,1.7451,1.3274,0.88836,0.55843,0.30136,0,0,5.3384,5.1751,4.5075,3.5193,2.5992,1.9119,1.028,0.68562,0.22148,0.22148
17.793,16.88,14.486,11.547,8.6689,6.37,4.829,3.6263,2.845,1.9232,7.5826,7.4826,7.0405,6.2053,4.9659,4.0193,3.1253,2.7063,1.8399,1.3673,6.0918,5.9876,5.5762,5.0598,4.5083,3.7222,2.8706,2.3384,1.8625,1.621,4.9243,4.9039,4.8844,4.7189,4.2432,3.7257,3.3569,2.7019,2.3266,2.1894,2.5618,2.4906,2.3742,2.0365,1.5021,0.95911,0.50878,0.50878,0.34881,0.18155,9.9032,9.9032,9.8769,9.835,9.4353,8.7986,7.801,6.4764,6.0421,4.2335,2.6599,2.5793,2.3626,2.1333,1.5949,1.4065,1.2866,1.2866,1.2866,0.62871,8.401,8.3,7.8489,6.9142,5.9766,4.9831,3.9757,2.6756,2.1613,1.303
20.047,19.422,17.71,15.227,12.348,9.4003,6.8312,4.5631,2.9577,1.7641,5.4791,5.3679,5.1265,4.7381,4.1249,3.5204,3.1226,2.4658,1.6376,1.1123,8.1003,7.9926,7.7154,7.1369,6.4948,5.9274,4.8421,3.953,2.9971,1.9081,3.4116,3.3458,3.278,3.0621,2.9366,2.466,2.0092,1.2535,1.1204,0.71137,5.3528,5.3198,5.3198,5.2344,5.1684,5.0783,4.8539,4.1833,3.1474,2.466,5.395,5.3744,5.3071,5.0574,4.5056,3.9755,3.5617,2.9985,2.4708,2.2274,2.2652,2.2061,2.0865,1.8317,1.577,1.2154,1.2154,0.82997,0.6867,0.34519,7.9992,7.8703,7.4878,6.8361,5.934,4.9249,3.5413,2.3841,1.6957,0.84534
15.453,14.646,12.507,9.8373,7.4086,5.2129,3.6957,2.6297,1.7796,1.3264,5.3697,5.2186,4.8908,4.3736,3.6379,2.7026,2.0107,1.483,1.0004,0.84976,5.9333,5.8341,5.3963,4.7195,3.9826,3.1946,2.7558,2.2297,1.4808,1.2455,3.9417,3.9027,3.6342,3.1825,3.0553,2.6099,2.2492,1.9229,1.4238,0.857,5.8805,5.8524,5.7522,5.6966,5.4725,5.3824,4.5393,4.2772,2.9467,1.5888,7.3984,7.3856,7.3146,7.0576,6.1117,5.6564,4.7976,3.9608,3.751,3.3863,1.6456,1.5612,1.3859,1.025,0.95136,0.57487,0.47266,0.47266,0.17073,0,6.4698,6.2514,5.7084,4.9168,4.0543,3.1047,2.0391,1.528,1.2456,0.98497
